TRADEDATE,CLOSE
2024-01-10,16376.0
2024-01-11,16276.0
2024-01-12,16234.0
2024-01-15,16226.0
2024-01-16,16192.0
2024-01-17,16202.0
2024-01-18,16156.0
2024-01-19,16052.0
2024-01-22,16076.0
2024-01-23,16078.0
2024-01-24,16002.0
2024-01-25,15986.0
2024-01-26,16056.0
2024-01-29,16026.0
2024-01-30,16036.0
2024-01-31,15946.0
2024-02-01,15992.0
2024-02-02,15950.0
2024-02-05,15950.0
2024-02-06,15944.0
2024-02-07,15960.0
2024-02-08,15742.0
2024-02-09,15728.0
2024-02-12,15546.0
2024-02-13,15380.0
2024-02-14,15186.0
2024-02-15,15172.0
2024-02-16,15036.0
2024-02-19,14924.0
2024-02-20,14480.0
2024-02-21,14438.0
2024-02-22,14372.0
2024-02-26,14744.0
2024-02-27,14514.0
2024-02-28,14602.0
2024-02-29,14568.0
2024-03-01,14602.0
2024-03-04,15008.0
2024-03-05,14946.0
2024-03-06,15084.0
2024-03-07,15098.0
2024-03-11,15028.0
2024-03-12,15028.0
2024-03-13,14998.0
2024-03-14,15018.0
2024-03-15,15070.0
2024-03-18,14964.0
2024-03-19,14776.0
2024-03-20,14804.0
2024-03-21,14930.0
2024-03-22,14798.0
2024-03-25,15138.0
2024-03-26,15136.0
2024-03-27,15300.0
2024-03-28,15208.0
2024-03-29,15110.0
2024-04-01,15054.0
2024-04-08,152.96
2024-04-09,164.0
2024-04-10,163.3
2024-04-11,172.42
2024-04-12,164.8
2024-04-15,162.34
2024-04-16,158.92
2024-04-17,159.42
2024-04-18,158.62
2024-04-19,158.66
2024-04-22,162.0
2024-04-23,156.58
2024-04-24,155.82
2024-04-25,157.52
2024-04-26,156.54
2024-04-27,156.04
2024-04-29,155.16
2024-04-30,153.9
2024-05-02,156.24
2024-05-03,154.4
2024-05-06,155.8
2024-05-07,154.44
2024-05-08,153.82
2024-05-10,152.78
2024-05-13,152.04
2024-05-14,156.04
2024-05-15,152.68
2024-05-16,152.6
2024-05-17,156.3
2024-05-20,151.88
2024-05-21,148.92
2024-05-22,150.0
2024-05-23,156.2
2024-05-24,155.22
2024-05-27,149.8
2024-05-28,149.62
2024-05-29,152.0
2024-05-30,146.5
2024-05-31,139.98
2024-06-03,138.52
2024-06-04,140.8
2024-06-05,141.14
2024-06-06,141.8
2024-06-07,143.28
2024-06-10,139.14
2024-06-11,138.86
2024-06-13,139.18
2024-06-14,140.3
2024-06-17,139.8
2024-06-18,136.26
2024-06-19,134.0
2024-06-20,136.32
2024-06-21,134.0
2024-06-24,130.24
2024-06-25,131.18
2024-06-26,131.88
2024-06-27,129.32
2024-06-28,129.92
2024-07-01,132.5
2024-07-02,134.38
2024-07-03,132.66
2024-07-04,130.38
2024-07-05,140.48
2024-07-08,132.52
2024-07-09,129.14
2024-07-10,124.3
2024-07-11,126.1
2024-07-12,125.26
2024-07-15,122.76
2024-07-16,126.1
2024-07-17,123.02
2024-07-18,135.8
2024-07-19,128.5
2024-07-22,129.88
2024-07-23,128.08
2024-07-24,130.86
2024-07-25,129.56
2024-07-26,126.46
2024-07-29,135.64
2024-07-30,127.92
2024-07-31,130.16
2024-08-01,128.64
2024-08-02,128.0
2024-08-05,123.92
2024-08-06,124.88
2024-08-07,124.6
2024-08-08,126.0
2024-08-09,123.46
2024-08-12,125.7
2024-08-13,127.82
2024-08-14,125.76
2024-08-15,125.0
2024-08-16,125.88
2024-08-19,132.42
2024-08-20,124.18
2024-08-21,121.44
2024-08-22,118.9
2024-08-23,113.04
2024-08-26,118.44
2024-08-27,112.9
2024-08-28,112.1
2024-08-29,111.34
2024-08-30,108.58
2024-09-02,103.12
2024-09-03,104.02
2024-09-04,106.72
2024-09-05,104.88
2024-09-06,107.04
2024-09-09,111.14
2024-09-10,105.96
2024-09-11,103.6
2024-09-12,101.5
2024-09-13,102.62
2024-09-16,106.44
2024-09-17,106.82
2024-09-18,106.22
2024-09-19,111.5
2024-09-20,109.42
2024-09-23,110.34
2024-09-24,115.22
2024-09-25,114.02
2024-09-26,115.48
2024-09-27,115.4
2024-09-30,112.16
2024-10-01,110.6
2024-10-02,107.84
2024-10-03,106.46
2024-10-04,106.96
2024-10-07,106.22
2024-10-08,106.4
2024-10-09,103.82
2024-10-10,111.04
2024-10-11,102.8
2024-10-14,105.5
2024-10-15,108.5
2024-10-16,106.82
2024-10-17,104.2
2024-10-18,104.26
2024-10-21,106.14
2024-10-22,106.98
2024-10-23,104.16
2024-10-24,105.12
2024-10-25,101.34
2024-10-28,96.1
2024-10-29,99.74
2024-10-30,97.54
2024-10-31,106.74
2024-11-01,95.08
2024-11-02,100.8
2024-11-05,104.2
2024-11-06,105.9
2024-11-07,109.42
2024-11-08,111.58
2024-11-11,112.64
2024-11-12,113.5
2024-11-13,113.0
2024-11-14,111.68
2024-11-15,115.16
2024-11-18,114.46
2024-11-19,111.0
2024-11-20,108.28
2024-11-21,109.32
2024-11-22,107.0
2024-11-25,103.94
2024-11-26,104.08
2024-11-27,110.96
2024-11-28,110.08
2024-11-29,112.96
2024-12-02,114.1
2024-12-03,109.38
2024-12-04,104.2
2024-12-05,108.16
2024-12-06,107.8
2024-12-09,106.86
2024-12-10,103.6
2024-12-11,104.1
2024-12-12,101.0
2024-12-13,99.9
2024-12-16,95.9
2024-12-17,94.98
2024-12-18,95.66
2024-12-19,95.7
2024-12-20,105.08
2024-12-23,105.92
2024-12-24,104.96
2024-12-25,108.0
2024-12-26,109.66
2024-12-27,111.04
2024-12-28,113.8
2024-12-30,115.5
2025-01-03,112.68
2025-01-06,113.42
2025-01-08,114.0
2025-01-09,111.8
2025-01-10,116.26
2025-01-13,118.38
2025-01-14,119.98
2025-01-15,119.46
2025-01-16,119.12
2025-01-17,124.88
2025-01-20,123.4
2025-01-21,124.56
2025-01-22,123.74
2025-01-23,124.96
2025-01-24,124.14
2025-01-27,119.46
2025-01-28,121.2
2025-01-29,121.78
2025-01-30,122.76
2025-01-31,121.18
2025-02-03,118.3
2025-02-04,117.16
2025-02-05,120.4
2025-02-06,121.5
2025-02-07,122.28
2025-02-10,120.82
2025-02-11,121.12
2025-02-12,127.26
2025-02-13,128.1
2025-02-14,131.5
2025-02-17,138.2
2025-02-18,134.6
2025-02-19,138.52
2025-02-20,137.74
2025-02-21,137.18
2025-02-24,146.94
2025-02-25,143.04
2025-02-26,138.02
2025-02-27,134.34
2025-02-28,140.32
2025-03-03,135.92
2025-03-04,140.92
2025-03-05,136.98
2025-03-06,136.46
2025-03-07,135.7
2025-03-10,137.14
2025-03-11,135.72
2025-03-12,134.0
2025-03-13,131.9
2025-03-14,130.54
2025-03-17,134.06
2025-03-18,132.08
2025-03-19,132.04
2025-03-20,131.16
2025-03-21,129.8
2025-03-24,125.88
2025-03-25,129.58
2025-03-26,125.8
2025-03-27,122.98
2025-03-28,121.56
2025-03-31,123.3
2025-04-01,120.8
2025-04-02,120.1
2025-04-03,116.42
2025-04-04,110.9
2025-04-07,111.32
2025-04-08,106.8
2025-04-09,116.08
2025-04-10,114.04
2025-04-11,117.1
2025-04-14,114.5
2025-04-15,112.2
2025-04-16,113.04
2025-04-17,115.56
2025-04-18,111.62
2025-04-21,113.92
2025-04-22,116.7
2025-04-23,114.44
2025-04-24,113.84
2025-04-25,117.7
2025-04-28,117.3
2025-04-29,113.62
2025-04-30,114.38
2025-05-02,109.0
2025-05-05,107.26
2025-05-06,107.7
2025-05-07,108.86
2025-05-08,111.6
2025-05-12,114.48
2025-05-13,112.98
2025-05-14,110.6
2025-05-15,110.52
2025-05-16,110.6
2025-05-19,109.92
2025-05-20,107.82
2025-05-21,105.56
2025-05-22,105.02
2025-05-23,103.68
2025-05-26,100.04
2025-05-27,101.34
2025-05-28,107.2
2025-05-29,104.84
2025-05-30,106.42
2025-06-02,105.68
2025-06-03,110.4
2025-06-04,111.38
2025-06-05,109.82
2025-06-06,108.2
2025-06-09,110.7
2025-06-10,106.24
2025-06-11,106.8
2025-06-13,105.5
2025-06-16,104.42
2025-06-17,107.52
2025-06-18,107.28
2025-06-19,106.72
2025-06-20,104.5
2025-06-23,103.9
2025-06-24,104.98
2025-06-25,107.18
2025-06-26,110.4
2025-06-27,111.58
2025-06-30,111.22
2025-07-01,110.48
2025-07-02,112.02
2025-07-03,109.4
2025-07-04,109.48
2025-07-07,106.4
2025-07-08,103.72
2025-07-09,104.16
2025-07-10,104.42
2025-07-11,101.5
2025-07-14,109.26
2025-07-15,110.1
2025-07-16,110.04
2025-07-17,108.68
2025-07-18,115.36
2025-07-21,116.54
2025-07-22,119.5
2025-07-23,118.24
2025-07-24,118.26
2025-07-25,114.68
2025-07-28,117.0
2025-07-29,122.9
2025-07-30,119.46
2025-07-31,120.86
2025-08-01,120.12
2025-08-04,120.68
2025-08-05,122.16
2025-08-06,123.7
2025-08-07,125.5
2025-08-08,128.3
2025-08-11,128.1
2025-08-12,128.2
2025-08-13,128.2
2025-08-14,131.46
2025-08-15,130.58
2025-08-18,129.88
2025-08-19,128.34
2025-08-20,125.72
2025-08-21,121.8
2025-08-22,122.94
2025-08-25,123.42
2025-08-26,122.96
2025-08-27,127.1
2025-08-28,124.32
2025-08-29,125.44
2025-09-01,123.2
2025-09-02,123.36
2025-09-03,124.88
2025-09-04,124.7
2025-09-05,126.0
2025-09-08,129.18
2025-09-09,130.2
2025-09-10,129.66
2025-09-11,129.44
2025-09-12,124.04
2025-09-15,123.56
2025-09-16,124.12
2025-09-17,126.3
2025-09-18,122.88
2025-09-19,119.28
2025-09-22,121.8
2025-09-23,119.34
2025-09-24,123.7
2025-09-25,120.56
2025-09-26,122.78
2025-09-29,125.96
2025-09-30,123.88
2025-10-01,121.1
2025-10-02,121.4
2025-10-03,120.08
2025-10-06,124.02
2025-10-07,125.96
2025-10-08,121.86
2025-10-09,128.68
2025-10-10,125.64
2025-10-13,129.04
2025-10-14,126.56
2025-10-15,125.22
2025-10-16,134.34
2025-10-17,131.52
2025-10-20,133.54
2025-10-21,128.0
2025-10-22,127.3
2025-10-23,127.36
2025-10-24,126.18
2025-10-27,118.5
2025-10-28,122.6
2025-10-29,125.3
2025-10-30,126.7
2025-10-31,123.94
2025-11-01,125.12
2025-11-03,127.0
2025-11-05,125.02
2025-11-06,124.74
2025-11-07,126.52
2025-11-10,126.56
2025-11-11,126.82
2025-11-12,124.7
2025-11-13,125.38
2025-11-14,123.9
2025-11-17,123.02
2025-11-18,127.0
2025-11-19,129.8
2025-11-20,133.38
2025-11-21,132.62
